,active_since_days,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment
0,22,623,295614,60,12,2,4,0,2,5.0,0,0,0.1444444444444444
1,1,739,130544,87,17,4,5,0,3,5.117647058823529,0,0,0.0869047619047619
2,1,960,17834,33,6,0,6,0,2,5.5,0,0,0.0
3,30,833,3128867,66,12,2,5,0,3,5.5,0,0,0.0583333333333333
4,15,3600,4210362,56,10,1,5,0,4,5.6,0,0,0.5
5,6,3600,90733,37,7,2,5,0,1,5.285714285714286,1,1,0.35
6,60,900,1081439,38,7,0,6,0,1,5.428571428571429,1,1,1.0
7,2,3660,582492,58,9,3,4,0,0,6.444444444444445,0,0,1.0
8,3,900,471701,50,8,0,0,1,3,6.25,0,0,0.9
9,90,3600,11175800,38,6,0,6,0,2,6.333333333333333,0,0,0.9
10,2,900,169398,54,10,2,1,0,2,5.4,0,0,0.2142857142857142
11,3,960,179509,62,12,3,6,0,2,5.166666666666667,0,0,0.2333333333333333
12,3,711,495602,38,7,0,7,0,2,5.428571428571429,0,0,0.2142857142857142
13,4,12,335063,51,7,2,5,2,1,7.285714285714286,1,0,0.0
14,5,900,1639826,40,7,0,6,1,2,5.714285714285714,0,0,0.0
15,5,960,441260,61,10,4,4,0,0,6.1,0,0,0.2142857142857142
16,6,60,425344,58,10,1,0,1,3,5.8,0,0,1.0
17,6,960,125342,30,5,0,5,0,1,6.0,0,0,0.6071428571428571
18,7,960,393097,46,9,1,0,0,2,5.111111111111111,0,0,0.6000000000000001
19,7,4260,1856595,59,10,3,3,0,1,5.9,0,0,1.0
20,8,533,480102,58,11,2,3,0,3,5.2727272727272725,1,0,0.0
21,8,1080,232200,62,10,2,0,0,2,6.2,0,0,0.0
22,9,18,122390,40,7,3,5,1,0,5.714285714285714,1,0,-0.1375
23,9,3660,1120865,46,10,1,9,0,2,4.6,0,0,1.0
24,10,960,377099,72,14,3,4,1,3,5.142857142857143,0,0,0.1277777777777777
25,10,900,615448,49,8,1,4,0,1,6.125,0,0,0.4499999999999999
26,10,581,1023475,41,6,0,6,0,1,6.833333333333333,0,0,0.0
27,11,34,15838158,47,7,2,6,1,1,6.714285714285714,1,0,0.0
28,12,960,363289,34,5,0,5,0,2,6.8,0,0,0.7
29,12,900,2641000,70,13,3,5,1,2,5.384615384615385,0,0,0.525
30,12,960,659551,51,9,1,7,1,3,5.666666666666667,0,0,1.0
31,13,53,207931,51,7,2,5,1,0,7.285714285714286,1,1,0.0
32,10,668,461338,58,10,3,4,0,0,5.8,0,0,0.3166666666666667
33,10,3600,2741892,72,13,2,3,2,3,5.538461538461538,0,0,0.4805194805194805
34,10,572,432458,48,9,2,0,1,2,5.333333333333333,0,0,0.1333333333333333
35,10,25,27156933,35,6,1,4,1,1,5.833333333333333,0,0,0.0
36,10,960,368205,47,9,1,8,0,2,5.222222222222222,0,0,0.65
37,10,900,651429,49,10,1,9,0,3,4.9,0,0,0.338095238095238
38,10,24,644367,42,7,1,5,1,0,6.0,0,0,-0.5
39,10,2040,1706885,56,10,2,4,1,0,5.6,0,0,0.5000000000000001
40,10,900,188045,41,8,1,7,0,1,5.125,0,0,0.6071428571428571
41,10,960,786746,42,9,1,8,0,2,4.666666666666667,0,0,0.0
42,10,32,3076818,40,5,2,4,1,0,8.0,1,1,0.0
43,10,589,334818,45,8,0,8,0,2,5.625,0,0,0.0
44,10,960,945979,48,9,0,9,0,3,5.333333333333333,0,0,0.2142857142857142
45,15,960,1004709,51,9,0,0,0,3,5.666666666666667,0,0,0.7
46,15,900,896460,44,9,1,7,0,2,4.888888888888889,1,0,0.4333333333333333
47,15,11,802983,37,6,1,4,1,1,6.166666666666667,0,0,0.0
48,15,900,157112,70,13,0,7,0,5,5.384615384615385,0,0,0.6071428571428571
49,15,1140,8021081,53,9,0,9,0,4,5.888888888888889,0,0,0.9
50,15,18,4118413,37,7,1,5,1,2,5.285714285714286,0,0,0.0
51,20,602,589254,56,11,2,4,0,4,5.090909090909091,0,0,0.6000000000000001
52,20,900,402731,56,9,1,4,0,2,6.222222222222222,0,0,0.5297619047619048
53,20,3960,1264717,42,8,0,8,0,2,5.25,0,0,1.0
54,20,31,81536845,34,4,1,3,1,0,8.5,0,0,0.0
55,30,900,10094013,33,6,0,6,0,1,5.5,0,0,0.2142857142857142
56,30,18,6858201,37,6,2,5,1,1,6.166666666666667,0,0,0.0
57,30,3720,3113351,55,9,1,0,0,3,6.111111111111111,1,1,0.6000000000000001
58,30,616,638820,50,8,0,0,0,2,6.25,0,0,0.375
59,30,29,2055207,43,7,1,6,1,2,6.142857142857143,0,0,0.0
60,30,960,836763,38,6,1,5,0,1,6.333333333333333,1,1,0.75
61,30,900,266479,64,11,2,4,0,2,5.818181818181818,0,0,0.3636363636363636
62,30,626,719071,74,16,3,5,1,5,4.625,0,0,0.2142857142857142
63,30,1980,1159500,45,8,0,0,1,3,5.625,0,0,0.75
64,30,900,229500,63,9,1,3,1,1,7.0,0,0,0.5791666666666667
65,30,3720,4950989,59,10,1,2,2,3,5.9,0,0,0.5
66,30,1080,477177,47,7,1,7,0,1,6.714285714285714,0,0,0.4333333333333333
67,30,55,1409594,45,8,2,6,1,1,5.625,0,0,1.0
68,30,552,594133,57,10,1,0,1,5,5.7,0,0,0.2272727272727272
69,30,900,259053,40,7,0,7,0,2,5.714285714285714,0,0,-0.6
70,30,1020,2934103,71,12,2,5,0,2,5.916666666666667,0,0,0.3958333333333333
71,30,31,3694032,32,6,1,2,2,2,5.333333333333333,0,0,-0.4
72,30,2220,3986298,60,10,2,4,1,3,6.0,0,0,0.6000000000000001
73,30,611,450625,64,11,3,4,1,2,5.818181818181818,0,0,0.35
74,30,960,464671,38,6,0,6,0,2,6.333333333333333,0,0,0.2
75,30,558,783498,72,12,2,12,0,5,6.0,0,0,0.7500000000000001
76,30,1020,364401,63,10,2,3,0,2,6.3,0,0,0.1124999999999999
77,30,629,1186501,34,7,0,7,0,2,4.857142857142857,0,0,-0.3
78,30,41,16586831,51,8,1,7,1,1,6.375,0,0,0.2571428571428571
79,30,784,270571,43,7,0,7,0,2,6.142857142857143,0,0,0.2142857142857142
80,30,1080,242834,65,11,3,3,0,0,5.909090909090909,0,0,0.6000000000000001
81,30,900,246056,66,11,2,0,0,2,6.0,0,0,0.0071428571428571
82,30,960,729639,53,11,3,2,0,0,4.818181818181818,1,0,1.0
83,30,696,1558659,59,12,2,8,0,2,4.916666666666667,0,0,0.6
84,30,900,4994512,56,10,2,0,0,2,5.6,0,0,0.2130952380952381
85,30,3600,2878459,51,8,2,3,0,2,6.375,0,0,0.3
86,30,1020,712237,46,10,2,4,1,0,4.6,1,0,0.35
87,30,900,313048,33,5,0,5,0,1,6.6,0,0,0.4
88,30,3780,7971044,44,7,0,7,0,2,6.285714285714286,0,0,0.6071428571428571
89,30,576,2072573,64,12,0,0,3,6,5.333333333333333,0,0,0.3249999999999999
90,30,900,205542,64,10,2,4,0,3,6.4,0,0,0.25
91,30,900,769217,48,8,1,0,0,2,6.0,0,0,0.9
92,30,960,956575,43,9,2,7,0,1,4.777777777777778,1,1,0.6000000000000001
93,30,1020,786365,50,10,1,0,0,2,5.0,0,0,1.0
94,30,603,546255,57,9,2,3,1,1,6.333333333333333,0,0,0.4333333333333333
95,30,900,394058,37,6,1,5,0,0,6.166666666666667,0,0,0.6000000000000001
96,30,3660,3706738,71,12,2,2,1,3,5.916666666666667,0,0,0.0
97,30,900,264513,71,9,2,3,0,1,7.888888888888889,0,0,0.6
98,30,900,597579,63,12,3,4,0,2,5.25,0,0,0.65
99,30,900,388093,29,6,0,5,0,1,4.833333333333333,1,1,0.5
100,30,960,2463052,56,10,2,3,0,2,5.6,0,0,0.4186507936507936
101,60,611,1220718,50,9,0,9,0,2,5.555555555555555,0,0,0.6071428571428571
102,60,960,2466890,54,10,0,10,0,2,5.4,0,0,1.0
103,60,3660,692515,54,10,2,0,0,1,5.4,0,0,0.7166666666666667
104,60,59,22808458,53,10,2,9,1,4,5.3,0,0,0.0
105,60,900,404343,31,6,0,5,0,1,5.166666666666667,1,1,1.0
106,60,960,551818,47,9,2,3,0,2,5.222222222222222,0,0,0.55
107,60,545,2137981,36,6,1,5,0,1,6.0,1,1,0.2142857142857142
108,60,900,306388,64,11,1,0,0,2,5.818181818181818,0,0,0.7
109,60,960,421632,57,10,2,5,0,1,5.7,0,0,-0.1666666666666666
110,60,3720,6079382,58,11,2,4,0,3,5.2727272727272725,0,0,1.0
111,60,960,887005,63,11,3,6,0,1,5.727272727272728,0,0,0.1666666666666666
112,60,1020,481159,74,13,2,2,1,2,5.6923076923076925,0,0,0.1666666666666666
113,60,900,249021,42,6,0,6,0,1,7.0,0,0,0.3
114,60,3660,1779466,65,11,2,5,0,3,5.909090909090909,0,0,0.65
115,60,563,2711481,39,7,0,7,0,2,5.571428571428571,0,0,0.0
116,60,900,692434,53,10,3,5,0,1,5.3,0,0,0.0
117,60,652,398771,52,10,2,6,0,2,5.2,1,0,0.9
118,60,610,765511,45,9,0,9,0,3,5.0,0,0,0.2
119,60,3780,4107610,75,10,3,3,0,0,7.5,0,0,0.0916666666666666
120,60,900,624897,33,6,0,6,0,2,5.5,0,0,0.9
121,60,625,2057693,60,9,2,5,0,1,6.666666666666667,0,0,0.2142857142857142
122,60,616,619426,30,5,0,4,0,0,6.0,1,0,0.5
123,60,3780,3581471,32,6,2,4,0,0,5.333333333333333,1,1,1.0
124,60,783,148156,43,6,0,6,0,1,7.166666666666667,0,0,0.7
125,60,1260,242859,61,13,2,2,3,5,4.6923076923076925,0,0,0.0
126,60,656,552011,55,10,2,9,0,2,5.5,0,0,0.35
127,60,528,23824479,48,8,2,0,0,1,6.0,0,0,0.6000000000000001
128,60,671,366962,74,11,3,6,0,1,6.727272727272728,0,0,0.0666666666666666
129,60,3600,630430,30,5,1,4,0,0,6.0,1,1,1.0
130,60,713,327415,60,13,3,6,0,5,4.615384615384615,0,0,0.0749999999999999
131,60,771,246954,74,14,3,6,0,5,5.285714285714286,0,0,1.0
132,60,3780,2943761,77,15,0,0,3,5,5.133333333333334,0,0,0.2142857142857142
133,60,632,436251,70,12,3,6,0,6,5.833333333333333,0,0,-0.5
134,60,682,715188,50,10,2,4,0,4,5.0,0,0,0.2886363636363636
135,60,633,564145,48,7,0,7,0,2,6.857142857142857,0,0,0.9
136,60,737,821247,71,11,4,0,0,1,6.454545454545454,0,0,0.2
137,60,3720,11882263,35,6,0,3,0,1,5.833333333333333,0,0,0.2142857142857142
138,60,655,152922,41,7,1,6,0,2,5.857142857142857,1,1,1.0
139,60,821,263061,50,8,0,3,0,3,6.25,0,0,0.0777777777777777
140,60,688,191048,41,8,0,8,0,2,5.125,0,0,0.75
141,60,581,582212,58,11,3,5,1,3,5.2727272727272725,0,0,0.2333333333333333
142,60,60,43221266,50,7,2,6,1,1,7.142857142857143,1,0,1.0
143,60,3600,5410983,58,11,1,6,0,5,5.2727272727272725,0,0,0.5
144,60,792,772988,54,10,2,0,0,1,5.4,0,0,0.35
145,60,900,427791,40,6,1,6,0,2,6.666666666666667,0,0,0.0
146,60,898,308352,62,11,3,3,0,2,5.636363636363637,1,1,-0.1928571428571428
147,60,899,641161,88,15,2,0,1,4,5.866666666666666,0,0,0.2071428571428571
148,60,900,1952153,41,7,0,6,0,1,5.857142857142857,1,0,0.5
149,60,960,339737,70,14,2,0,2,4,5.0,1,1,0.35
150,60,676,3566741,44,8,0,8,0,3,5.5,0,0,0.2142857142857142
151,60,3660,716281,82,16,3,0,2,6,5.125,0,0,0.3547619047619048
152,60,57,65371238,36,5,1,4,1,0,7.2,0,0,-0.6
153,60,802,316088,54,9,0,0,1,2,6.0,0,0,0.7000000000000001
